,tripReadId,partnerName,cargoTonnage,asset_type,loadedDate,source_region,destination_region,source,destination,goodType,asset_size,totalDistance,month,currency,amount
5053,TP1154166,SOA EMPIRE INTERNATIONAL LIMITED,40.0,Flatbed,2021-08-09 23:15:00+00:00,south west,south west,LAGOS,OGUN,RAW MATERIALS,40.0,38254.0,August,NGN,517500.0
5054,TP1154175,SOA EMPIRE INTERNATIONAL LIMITED,45.0,Flatbed,2021-08-10 05:04:00+00:00,south west,south west,LAGOS,OGUN,RAW MATERIALS,40.0,38254.0,August,NGN,517500.0
5055,TP1154289,Pacegate Limited,30.0,Open,2021-08-10 16:19:00+00:00,south west,north west,LAGOS,KADUNA,PASTA,30.0,862395.0,August,NGN,648185.0
5056,TP1154153,SOA EMPIRE INTERNATIONAL LIMITED,40.0,Flatbed,2021-08-10 01:08:00+00:00,south west,south west,LAGOS,OGUN,RAW MATERIALS,40.0,38254.0,August,NGN,517500.0
5057,TP1154189,SOA EMPIRE INTERNATIONAL LIMITED,45.0,Flatbed,2021-08-10 08:59:00+00:00,south west,south west,LAGOS,OGUN,RAW MATERIALS,40.0,38254.0,August,NGN,517500.0
5058,TP1154708,ADEYEMO OLUWASEUN Transport,12.0,Covered,2021-08-13 11:49:00+00:00,south west,south west,OGUN,OYO,WINE AND SPIRIT,15.0,237889.0,August,NGN,126000.0
5059,TP1154148,SOA EMPIRE INTERNATIONAL LIMITED,40.0,Flatbed,2021-08-10 03:41:00+00:00,south west,south west,LAGOS,OGUN,RAW MATERIALS,40.0,0.0,August,NGN,440000.0
5060,TP1154157,SOA EMPIRE INTERNATIONAL LIMITED,40.0,Flatbed,2021-08-10 02:07:00+00:00,south west,south west,LAGOS,OGUN,RAW MATERIALS,40.0,103461.0,August,NGN,440000.0
5061,TP1153978,SOA EMPIRE INTERNATIONAL LIMITED,40.0,Flatbed,2021-08-08 18:34:00+00:00,south west,south west,LAGOS,OGUN,RAW MATERIALS,40.0,74593.0,August,NGN,440000.0
5062,TP1153391,Franconero International Logistics,30.0,Covered,2021-08-04 17:11:00+00:00,south west,south west,OGUN,ONDO,BEVERAGES AND DRINKS,30.0,0.0,August,NGN,328900.0
5063,TP1153811,SOA EMPIRE INTERNATIONAL LIMITED,45.0,Flatbed,2021-08-07 06:22:00+00:00,south west,south west,LAGOS,OGUN,RAW MATERIALS,40.0,38254.0,August,NGN,517500.0
5064,TP1154672,OGS Foods Services,10.0,Covered,2021-08-13 09:37:00+00:00,north west,south west,KADUNA,LAGOS,BEVERAGES AND DRINKS,20.0,835013.0,August,NGN,132750.0
5065,TP1154809,Shezlad Agrovet Venture,12.0,Covered,2021-08-13 15:06:00+00:00,south west,south west,OGUN,LAGOS,WINE AND SPIRIT,15.0,31149.0,August,NGN,68250.0
5066,TP1154806,Munach signatures Ltd,40.0,Flatbed,2021-08-13 19:34:00+00:00,south west,south west,OGUN,OGUN,OTHERS,40.0,107879.0,August,NGN,150000.0
5067,TP1154301,MUBARAK SANI KOGUNA,30.0,Covered,2021-08-10 17:38:00+00:00,north west,south west,KANO,OYO,SOYABEAN SEEDS,30.0,914339.0,August,NGN,270000.0
5068,TP1153133,MEJ Associates,45.0,Open,2021-08-03 09:41:00+00:00,north west,south west,KANO,OYO,SOYABEAN SEEDS,45.0,914339.0,August,NGN,405000.0
5069,TP1153942,SIF-LOGISTICS,50.04,Open,2021-08-08 15:49:00+00:00,south south,north east,CROSS RIVER,GOMBE,CLINKA,45.0,1086380.0,August,NGN,1100880.0
